ano,sigla_uf,id_municipio,emissao_co2,emissao_mp,nome_municipio,populacao
2007,SE,2800308,779,176,Aracaju,520303.0
2007,PA,1501402,541,129,Belém,1408847.0
2007,MG,3106200,701,116,Belo Horizonte,2412937.0
2007,RR,1400100,699,149,Boa Vista,249853.0
2007,DF,5300108,922,162,Brasília,2455903.0
2007,MS,5002704,1464,414,Campo Grande,724524.0
2007,MT,5103403,1235,354,Cuiabá,526831.0
2007,PR,4106902,1000,210,Curitiba,1797408.0
2007,SC,4205407,990,166,Florianópolis,396723.0
2007,CE,2304400,392,76,Fortaleza,2431415.0
2007,GO,5208707,999,213,Goiânia,1244645.0
2007,PB,2507507,519,113,João Pessoa,674762.0
2007,AP,1600303,665,145,Macapá,344153.0
2007,AL,2704302,438,110,Maceió,896965.0
2007,AM,1302603,879,219,Manaus,1646602.0
2007,RN,2408102,596,133,Natal,774230.0
2007,TO,1721000,903,203,Palmas,178386.0
2007,RS,4314902,813,140,Porto Alegre,1420667.0
2007,RO,1100205,1841,564,Porto Velho,369345.0
2007,PE,2611606,483,99,Recife,1533580.0
2007,AC,1200401,680,163,Rio Branco,290639.0
2007,RJ,3304557,536,124,Rio De Janeiro,6093472.0
2007,BA,2927408,412,91,Salvador,2892625.0
2007,MA,2111300,920,267,São Luís,957515.0
2007,SP,3550308,731,144,São Paulo,10886518.0
2007,PI,2211001,652,157,Teresina,779939.0
2007,ES,3205309,773,133,Vitória,314042.0
2008,SE,2800308,781,165,Aracaju,536785.0
2008,PA,1501402,498,109,Belém,1424124.0
2008,MG,3106200,700,116,Belo Horizonte,2434642.0
2008,RR,1400100,816,169,Boa Vista,260930.0
2008,DF,5300108,903,147,Brasília,2557158.0
2008,MS,5002704,1616,448,Campo Grande,747189.0
2008,MT,5103403,1325,373,Cuiabá,544737.0
2008,PR,4106902,984,203,Curitiba,1828092.0
2008,SC,4205407,836,116,Florianópolis,402346.0
2008,CE,2304400,491,104,Fortaleza,2473614.0
2008,GO,5208707,1005,211,Goiânia,1265394.0
2008,PB,2507507,528,103,João Pessoa,693082.0
2008,AP,1600303,676,136,Macapá,359020.0
2008,AL,2704302,422,100,Maceió,924143.0
2008,AM,1302603,1189,314,Manaus,1709010.0
2008,RN,2408102,627,128,Natal,798065.0
2008,TO,1721000,885,185,Palmas,184010.0
2008,RS,4314902,788,127,Porto Alegre,1430220.0
2008,RO,1100205,1887,551,Porto Velho,379186.0
2008,PE,2611606,492,97,Recife,1549980.0
2008,AC,1200401,707,160,Rio Branco,301398.0
2008,RJ,3304557,521,117,Rio De Janeiro,6161047.0
2008,BA,2927408,421,95,Salvador,2948733.0
2008,MA,2111300,1113,326,São Luís,986826.0
2008,SP,3550308,749,147,São Paulo,10990249.0
2008,PI,2211001,721,171,Teresina,793915.0
2008,ES,3205309,732,124,Vitória,317817.0
2009,SE,2800308,682,121,Aracaju,544039.0
2009,PA,1501402,467,92,Belém,1437600.0
2009,MG,3106200,711,109,Belo Horizonte,2452617.0
2009,RR,1400100,868,157,Boa Vista,266901.0
2009,DF,5300108,878,134,Brasília,2606885.0
2009,MS,5002704,1479,374,Campo Grande,755107.0
2009,MT,5103403,1297,350,Cuiabá,550562.0
2009,PR,4106902,960,200,Curitiba,1851215.0
2009,SC,4205407,819,101,Florianópolis,408161.0
2009,CE,2304400,504,98,Fortaleza,2505552.0
2009,GO,5208707,929,181,Goiânia,1281975.0
2009,PB,2507507,560,102,João Pessoa,702235.0
2009,AP,1600303,586,96,Macapá,366484.0
2009,AL,2704302,426,94,Maceió,936314.0
2009,AM,1302603,1467,389,Manaus,1738641.0
2009,RN,2408102,562,100,Natal,806203.0
2009,TO,1721000,858,170,Palmas,188645.0
2009,RS,4314902,766,111,Porto Alegre,1436123.0
2009,RO,1100205,2028,556,Porto Velho,382829.0
2009,PE,2611606,505,99,Recife,1561659.0
2009,AC,1200401,674,144,Rio Branco,305954.0
2009,RJ,3304557,514,108,Rio De Janeiro,6186710.0
2009,BA,2927408,404,85,Salvador,2998056.0
2009,MA,2111300,993,269,São Luís,997098.0
2009,SP,3550308,712,133,São Paulo,11037593.0
2009,PI,2211001,714,151,Teresina,802537.0
2009,ES,3205309,751,113,Vitória,320156.0
2010,SE,2800308,739,115,Aracaju,571149.0
2010,PA,1501402,513,93,Belém,1393399.0
2010,MG,3106200,852,110,Belo Horizonte,2375151.0
2010,RR,1400100,1445,322,Boa Vista,284313.0
2010,DF,5300108,1005,135,Brasília,2570160.0
2010,MS,5002704,1563,360,Campo Grande,786797.0
2010,MT,5103403,1330,334,Cuiabá,551098.0
2010,PR,4106902,1148,212,Curitiba,1751907.0
2010,SC,4205407,989,94,Florianópolis,421240.0
2010,CE,2304400,573,101,Fortaleza,2452185.0
2010,GO,5208707,987,178,Goiânia,1302001.0
2010,PB,2507507,656,106,João Pessoa,723515.0
2010,AP,1600303,567,81,Macapá,398204.0
2010,AL,2704302,510,97,Maceió,932748.0
2010,AM,1302603,1690,427,Manaus,1802014.0
2010,RN,2408102,630,95,Natal,803739.0
2010,TO,1721000,877,159,Palmas,228332.0
2010,RS,4314902,875,113,Porto Alegre,1409351.0
2010,RO,1100205,2064,520,Porto Velho,428527.0
2010,PE,2611606,603,104,Recife,1537704.0
2010,AC,1200401,783,152,Rio Branco,336038.0
2010,RJ,3304557,574,113,Rio De Janeiro,6320446.0
2010,BA,2927408,497,94,Salvador,2675656.0
2010,MA,2111300,839,179,São Luís,1014837.0
2010,SP,3550308,748,129,São Paulo,11253503.0
2010,PI,2211001,823,156,Teresina,814230.0
2010,ES,3205309,685,75,Vitória,327801.0
2011,SE,2800308,819,112,Aracaju,579563.0
2011,PA,1501402,531,86,Belém,1402056.0
2011,MG,3106200,918,106,Belo Horizonte,2385640.0
2011,RR,1400100,854,128,Boa Vista,290741.0
2011,DF,5300108,1064,127,Brasília,2609998.0
2011,MS,5002704,1706,352,Campo Grande,796252.0
2011,MT,5103403,1449,330,Cuiabá,556299.0
2011,PR,4106902,1277,199,Curitiba,1764541.0
2011,SC,4205407,1011,89,Florianópolis,427298.0
2011,CE,2304400,626,100,Fortaleza,2476589.0
2011,GO,5208707,1023,162,Goiânia,1318149.0
2011,PB,2507507,718,104,João Pessoa,733155.0
2011,AP,1600303,607,77,Macapá,407023.0
2011,AL,2704302,571,96,Maceió,943110.0
2011,AM,1302603,1563,352,Manaus,1832424.0
2011,RN,2408102,668,87,Natal,810780.0
2011,TO,1721000,928,143,Palmas,235316.0
2011,RS,4314902,922,109,Porto Alegre,1413094.0
2011,RO,1100205,2152,497,Porto Velho,435732.0
2011,PE,2611606,684,100,Recife,1546516.0
2011,AC,1200401,861,156,Rio Branco,342299.0
2011,RJ,3304557,665,120,Rio De Janeiro,6355949.0
