ano,sigla_uf,id_municipio,tempo_medio_deslocamento,prop_deslocamento_acima_1_hora,nome_municipio,populacao
2010,AC,1200401,26,5.0,Rio Branco,336038.0
2010,AL,2704302,36,13.0,Maceió,932748.0
2010,AM,1302603,41,17.0,Manaus,1802014.0
2010,AP,1600303,24,4.0,Macapá,398204.0
2010,BA,2910057,30,9.511471,Dias D'ávila,66440.0
2010,BA,2916104,30,12.0796156,Itaparica,20725.0
2010,BA,2927408,44,22.0,Salvador,2675656.0
2010,BA,2933208,29,11.9671383,Vera Cruz,37567.0
2010,BA,2929503,32,11.641791,São Sebastião Do Passé,42153.0
2010,BA,2905701,30,9.2257133,Camaçari,242970.0
2010,BA,2906501,27,5.1572484,Candeias,83158.0
2010,BA,2919207,38,16.2494838,Lauro De Freitas,163449.0
2010,BA,2919926,29,9.2616034,Madre De Deus,17376.0
2010,BA,2921005,33,12.2287781,Mata De São João,40183.0
2010,BA,2925204,24,3.9038295,Pojuca,33066.0
2010,BA,2929206,25,7.1623838,São Francisco Do Conde,33183.0
2010,BA,2930709,36,15.5893318,Simões Filho,118047.0
2010,CE,2303709,36,14.9528542,Caucaia,325441.0
2010,CE,2303501,23,5.0290681,Cascavel,66142.0
2010,CE,2306256,34,13.6139257,Itaitinga,35817.0
2010,CE,2307650,33,12.4648533,Maracanaú,209057.0
2010,CE,2313500,19,3.0,Trairi,51422.0
2010,CE,2310852,21,5.0640168,Pindoretama,18683.0
2010,CE,2312403,23,4.1527187,São Gonçalo Do Amarante,43890.0
2010,CE,2312601,19,4.0,São Luís Do Curu,12332.0
2010,CE,2301000,23,4.0667786,Aquiraz,72628.0
2010,CE,2303956,24,5.675786,Chorozinho,18915.0
2010,CE,2304400,35,13.0,Fortaleza,2452185.0
2010,CE,2304285,25,5.2245707,Eusébio,46033.0
2010,CE,2304954,26,8.5052632,Guaiúba,24091.0
2010,CE,2305233,21,2.7693226,Horizonte,55187.0
2010,CE,2307700,28,8.0139248,Maranguape,113561.0
2010,CE,2309607,21,2.9495765,Pacajus,61838.0
2010,CE,2309706,34,13.556241,Pacatuba,72299.0
2010,CE,2310209,23,4.0,Paracuru,31636.0
2010,CE,2310258,19,3.0,Paraipaba,30041.0
2010,DF,5300108,39,16.0,Brasília,2570160.0
2010,ES,3205309,28,5.0,Vitória,327801.0
2010,GO,5200258,54,38.0,Águas Lindas De Goiás,159378.0
2010,GO,5200100,18,2.0,Abadiânia,15757.0
2010,GO,5208707,31,9.0,Goiânia,1302001.0
2010,GO,5200175,20,4.0,Água Fria De Goiás,5090.0
2010,GO,5206206,26,9.0,Cristalina,46580.0
2010,GO,5205307,20,3.0,Cavalcante,9392.0
2010,GO,5205497,56,43.0,Cidade Ocidental,55915.0
2010,GO,5205802,24,4.0,Corumbá De Goiás,10361.0
2010,GO,5208608,27,7.0,Goianésia,59549.0
2010,GO,5217609,55,45.0,Planaltina,81649.0
2010,GO,5219753,53,40.0,Santo Antônio Do Descoberto,63248.0
2010,GO,5215603,32,16.0,Padre Bernardo,27671.0
2010,GO,5222302,24,8.0,Vila Propício,5145.0
2010,GO,5220009,22,6.0,São João D'aliança,10257.0
2010,GO,5200308,23,6.0,Alexânia,23814.0
2010,GO,5200605,18,3.0,Alto Paraíso De Goiás,6885.0
2010,GO,5200803,23,7.0,Alvorada Do Norte,8084.0
2010,GO,5203203,20,2.0,Barro Alto,8716.0
2010,GO,5207907,27,8.0,Flores De Goiás,12066.0
2010,GO,5208004,24,6.0,Formosa,100085.0
2010,GO,5204003,24,4.0,Cabeceiras,7354.0
2010,GO,5205513,37,22.0,Cocalzinho De Goiás,17407.0
2010,GO,5212501,43,28.0,Luziânia,174531.0
2010,GO,5213053,17,4.0,Mimoso De Goiás,2685.0
2010,GO,5214606,24,5.0,Niquelândia,42361.0
2010,GO,5215231,53,38.0,Novo Gama,95018.0
2010,GO,5217302,21,3.0,Pirenópolis,23006.0
2010,GO,5221858,47,28.0,Valparaíso De Goiás,132982.0
2010,GO,5220686,16,2.0,Simolândia,6514.0
2010,GO,5222203,25,5.0,Vila Boa,4735.0
2010,MA,2111300,38,14.0,São Luís,1014837.0
2010,MG,3105004,25,7.0,Baldim,7913.0
2010,MG,3106705,38,17.0,Betim,378089.0
2010,MG,3110004,39,20.0,Caeté,40750.0
2010,MG,3109303,22,7.0,Buritis,22737.0
2010,MG,3109451,28,10.0,Cabeceira Grande,6453.0
2010,MG,3118601,41,19.0,Contagem,603442.0
2010,MG,3129806,54,36.0,Ibirité,158954.0
2010,MG,3126000,23,5.0,Florestal,6600.0
2010,MG,3132206,21,2.0,Itaguara,12372.0
2010,MG,3133709,23,3.0,Itatiaiuçu,9928.0
2010,MG,3134608,26,8.0,Jaboticatubas,17134.0
2010,MG,3137601,32,12.0,Lagoa Santa,52520.0
2010,MG,3140704,24,5.0,Mateus Leme,27856.0
